user_id,Регион,Тип доступа,Источник правила,Комментарий
U-001,Москва,Операционный,Роль + сервисная организация,Диспетчер Москвы
U-002,Санкт-Петербург,Операционный,Роль + сервисная организация,Диспетчер Санкт-Петербурга
U-003,Москва,Операционный,Роль + сервисная организация,Инженер
U-004,Москва,Операционный,Роль + сервисная организация,Инженер
U-005,Москва,Операционный,Роль + сервисная организация,Инженер
U-006,Нижний Новгород,Операционный,Роль + сервисная организация,Инженер
U-007,Нижний Новгород,Операционный,Роль + сервисная организация,Инженер
U-008,Москва,Менеджерский,Явное назначение территории,Сервис-менеджер двух территорий
U-008,Санкт-Петербург,Менеджерский,Явное назначение территории,Сервис-менеджер двух территорий; Нижний Новгород не разрешён
U-009,Нижний Новгород,Менеджерский,Роль + сервисная организация,Сервис-менеджер Нижнего Новгорода
U-011,Москва,Операционный,Роль + сервисная организация,Диспетчер гарантийных обращений
U-012,Москва,Операционный,Роль + сервисная организация,Инженер
U-013,Москва,Клиентский,customer_id = CUST-001,Дополнительно видит только свои объекты/обращения
U-014,Москва,Клиентский,customer_id = CUST-006,Дополнительно видит только свои объекты/обращения
U-015,Нижний Новгород,Клиентский,customer_id = CUST-002,Дополнительно видит только свои объекты/обращения
U-016,Нижний Новгород,Клиентский,customer_id = CUST-007,Дополнительно видит только свои объекты/обращения
U-017,Санкт-Петербург,Операционный,Роль + сервисная организация,Инженер
U-018,Санкт-Петербург,Операционный,Роль + сервисная организация,Инженер
U-019,Санкт-Петербург,Клиентский,customer_id = CUST-008,Дополнительно видит только свои объекты/обращения
U-020,Санкт-Петербург,Клиентский,customer_id = CUST-009,Дополнительно видит только свои объекты/обращения
U-021,Нижний Новгород,Операционный,Роль + сервисная организация,Диспетчер Нижнего Новгорода
