technician_id,ФИО (условное),Сервисная организация,Компетенции (skill_id через ;),База (город),Доступность
TECH-001,Инженер 001,SO-MSK-REP,SK-02;SK-03,Москва,Пн–Пт 9:00–18:00
TECH-002,Инженер 002,SO-MSK-REP,SK-04;SK-06,Москва,Пн–Пт 9:00–20:00
TECH-003,Инженер 003,SO-MSK-MOB,SK-08;SK-11,Москва,Пн–Пт 8:00–17:00
TECH-004,Инженер 004,SO-MSK-REP,SK-03;SK-05;SK-07,Москва,Пн–Пт 10:00–19:00
TECH-005,Инженер 005,SO-NVR-REP,SK-02;SK-10,Нижний Новгород,Пн–Пт 9:00–18:00
TECH-006,Инженер 006,SO-NVR-REP,SK-02;SK-04,Нижний Новгород,Пн–Пт 9:00–18:00
TECH-007,Инженер 007,SO-NVR-REP,SK-02;SK-08,Нижний Новгород,Пн–Пт 9:00–18:00
TECH-008,Инженер 008,SO-NVR-REP,SK-04;SK-06,Нижний Новгород,"Пн–Чт 9:00–18:00, Пт 9:00–17:00"
TECH-009,Инженер 009,SO-YAR-REP,SK-01;SK-02,Ярославль,Пн–Пт 9:00–18:00
TECH-010,Инженер 010,SO-VRN-REP,SK-04;SK-12,Воронеж,Пн–Пт 10:00–19:00
TECH-011,Инженер 011,SO-TVE-REP,SK-01;SK-12,Тверь,Пн–Пт 9:00–17:00
TECH-012,Инженер 012,SO-MSK-MOB,SK-08;SK-12,Москва,Пн–Пт 10:00–19:00
TECH-013,Инженер 013,SO-SPB-REP,SK-02;SK-03,Санкт-Петербург,Пн–Пт 9:00–18:00
TECH-014,Инженер 014,SO-SPB-MOB,SK-01;SK-02;SK-12,Санкт-Петербург,Пн–Пт 8:00–17:00
