rule_id,Что согласуется,Порог / условие,Кто согласует со стороны компании,Нужно ли согласие клиента,Что если не согласовали
A-01,Замена платной запчасти,Стоимость запчасти свыше 5 000 ₽,Диспетчер,Да,Обращение переводится в статус «Ожидание согласования»
A-02,Замена платной запчасти,Стоимость запчасти свыше 15 000 ₽,Сервис-менеджер,Да,Требуется дополнительное согласование с коммерческим отделом
A-03,Ремонт по гарантии (замена узла),Ориентировочная стоимость ремонта превышает 50% от текущей рыночной цены нового аналогичного оборудования,Сервис-менеджер,Нет (решение о ремонте или замене принимает компания),Принимается решение о замене оборудования на новое (аналогичное или с доплатой)
A-04,Платный ремонт (любые работы),Общая смета ремонта превышает 10 000 ₽,Диспетчер,Да,"Обращение переводится в ожидание, ремонт не начинается до получения подтверждения от клиента"
A-05,Платный ремонт (любые работы),Стоимость ремонта превышает 70% от цены нового устройства,Сервис-менеджер,Да,Клиенту предлагается утилизация или замена оборудования (ремонт экономически нецелесообразен)
A-06,Заказ редкой / дорогой запчасти,Срок поставки запчасти превышает 14 рабочих дней,Диспетчер,Да,"Обращение переводится в статус «Ожидание запчасти», клиент уведомляется о длительном сроке ремонта"
A-07,Выезд инженера за пределы города (Москва / МО),Расстояние от базы > 50 км или требуется отдельная командировка,Сервис-менеджер,Да,Выезд согласовывается с клиентом (оплата транспорта или перенос срока)
A-08,Негарантийный ремонт (любой),Любая стоимость (стандартное правило),Диспетчер,Да,Ремонт не выполняется до получения письменного согласия клиента на смету
A-09,Срочный ремонт (вне очереди),"Любое обращение, где клиент просит выполнить ремонт быстрее стандартного срока",Сервис-менеджер,Да (приоритет платный),"Обрабатывается в общем порядке, срочность не гарантируется"
A-10,Замена оборудования на время ремонта (подменный фонд),"Любой гарантийный или платный ремонт, где срок превышает 5 рабочих дней",Сервис-менеджер,Да,Клиенту предлагается аренда оборудования на время ремонта
