rule_id,Условие,Результат,Кто определяет,На каком этапе,Комментарий,Статус / граница MVP
W-01,"Дата продажи + гарантийный срок не истек (12 мес для принтеров/МФУ/ноутбуков/ВКС, 24 мес для сканеров Avision, 36 мес для серверов и интерактивных панелей) и нет признаков нарушения эксплуатации",Гарантийный,Система автоматически,При регистрации обращения,Базовое правило — проверка срока. У разных производителей и типов оборудования сроки могут отличаться.,MVP: предварительно автоматически; окончательно после диагностики
W-02,"Дата продажи + 12 мес не истекла, но в картридже использован неоригинальный тонер/чернила",Гарантия НЕ применяется (ремонт платный),Инженер при диагностике,После диагностики,Использование неоригинальных расходных материалов — частое основание для отказа в гарантии.,Вне MVP: определяется инженером после физической диагностики
W-03,"Дата продажи + 12 мес не истекла, но обнаружены следы залития жидкостью",Гарантия НЕ применяется (ремонт платный),Инженер при диагностике,После диагностики,Попадание жидкости внутрь оборудования — нарушение правил эксплуатации.,Вне MVP: определяется инженером после физической диагностики
W-04,"Дата продажи + 12 мес не истекла, но обнаружены механические повреждения (трещины, сколы, деформация корпуса)",Гарантия НЕ применяется (ремонт платный),Инженер при диагностике,После диагностики,Механические повреждения от ударов/падений не покрываются гарантией.,Вне MVP: определяется инженером после физической диагностики
W-05,"Дата продажи + 12 мес не истекла, но оборудование вскрыто или ремонтировалось неавторизованным сервисным центром",Гарантия НЕ применяется (ремонт платный),Инженер при диагностике,После диагностики,Нарушение пломб и ремонт неуполномоченными лицами аннулирует гарантию.,Вне MVP: определяется инженером после физической диагностики
W-06,"Дата продажи + 12 мес не истекла, но обнаружены следы перегрева, короткого замыкания, скачков напряжения",Гарантия НЕ применяется (ремонт платный),Инженер при диагностике,После диагностики,Электрические повреждения из-за нестабильного питания или подключения к несоответствующим сетям.,Вне MVP: определяется инженером после физической диагностики
W-07,"Дата продажи + 12 мес не истекла, но внутри оборудования обнаружены посторонние предметы (насекомые, скрепки, канцелярия)",Гарантия НЕ применяется (ремонт платный),Инженер при диагностике,После диагностики,Попадание посторонних предметов — нарушение условий эксплуатации.,Вне MVP: определяется инженером после физической диагностики
W-08,"Дата продажи + 12 мес не истекла, но оборудование использовалось не по назначению (например, бытовой принтер в производственном цехе)",Гарантия НЕ применяется (ремонт платный),Инженер при диагностике,После диагностики,Использование не по назначению или с превышением нагрузки.,Вне MVP: определяется инженером после физической диагностики
W-09,"Дата продажи + 12 мес не истекла, но неисправность вызвана естественным износом быстроизнашивающихся деталей (ролики, ремни, лампы, фильтры)",Гарантия НЕ применяется (ремонт платный),Инженер при диагностике,После диагностики,Расходные материалы и детали с ограниченным сроком службы не покрываются гарантией.,Вне MVP: определяется инженером после физической диагностики
W-10,"Дата продажи + 12 мес не истекла, но отсутствует гарантийный талон или серийный номер нечитаем / не совпадает",Гарантия НЕ применяется (ремонт платный),Система / Инженер,При регистрации / После диагностики,"Гарантийный случай определяется по маркировке оборудования, сверенной с гарантийным талоном.",Вне MVP для окончательного решения: требуется проверка/диагностика инженером
