equipment_id,Серийный номер,model_id,customer_id,Дата продажи,Место установки,Статус
EQ-0001,PNT-M6500W-21458,MOD-001,CUST-001,2024-03-15,"Москва, площадка MSK-01",В эксплуатации
EQ-0002,KYO-M2135-87932,MOD-002,CUST-002,2024-06-20,"Нижний Новгород, площадка NVR-01",В эксплуатации
EQ-0003,HPL-M4103-55671,MOD-003,CUST-003,2023-11-01,"Ярославль, площадка YAR-01",В эксплуатации
EQ-0004,HUA-MBD15-34219,MOD-006,CUST-004,2024-09-10,"Воронеж, площадка VRN-01",В эксплуатации
EQ-0005,LEN-TB16-11287,MOD-009,CUST-005,2025-01-15,"Тверь, площадка TVE-01",В эксплуатации
EQ-0006,NEX-NP75-98234,MOD-012,CUST-006,2024-12-01,"Москва, площадка MSK-02",В эксплуатации
EQ-0007,YAD-SRV-76451,MOD-011,CUST-007,2025-03-20,"Нижний Новгород, площадка NVR-02",В эксплуатации
EQ-0008,AVI-AD545-23478,MOD-016,CUST-001,2024-05-05,"Москва, площадка MSK-01",В эксплуатации
EQ-0009,CAN-MF463-87654,MOD-004,CUST-003,2023-09-15,"Ярославль, площадка YAR-01",В эксплуатации
EQ-0010,HNR-MBX16-44321,MOD-007,CUST-006,2024-08-20,"Москва, площадка MSK-02",В эксплуатации
EQ-0011,HPL-M4103-77842,MOD-003,CUST-008,2026-02-12,"Санкт-Петербург, площадка SPB-01",В эксплуатации
EQ-0012,CAN-MF463-66519,MOD-004,CUST-009,2026-04-03,"Санкт-Петербург, площадка SPB-02",В эксплуатации
