customer_id,Наименование (условное),Тип,Регион,Адрес,Контактное лицо,Телефон
CUST-001,Партнёр 001,Юрлицо,Москва,"Москва, площадка MSK-01",Контакт 001,+7 000 000-00-01
CUST-002,Партнёр 002,ИП,Нижний Новгород,"Нижний Новгород, площадка NVR-01",Контакт 002,+7 000 000-00-02
CUST-003,Партнёр 003,АО,Ярославль,"Ярославль, площадка YAR-01",Контакт 003,+7 000 000-00-03
CUST-004,Партнёр 004,Юрлицо,Воронеж,"Воронеж, площадка VRN-01",Контакт 004,+7 000 000-00-04
CUST-005,Партнёр 005,ИП,Тверь,"Тверь, площадка TVE-01",Контакт 005,+7 000 000-00-05
CUST-006,Партнёр 006,АО,Москва,"Москва, площадка MSK-02",Контакт 006,+7 000 000-00-06
CUST-007,Партнёр 007,Юрлицо,Нижний Новгород,"Нижний Новгород, площадка NVR-02",Контакт 007,+7 000 000-00-07
CUST-008,Партнёр 008,Юрлицо,Санкт-Петербург,"Санкт-Петербург, площадка SPB-01",Контакт 008,+7 000 000-00-08
CUST-009,Партнёр 009,АО,Санкт-Петербург,"Санкт-Петербург, площадка SPB-02",Контакт 009,+7 000 000-00-09
CUST-010,Партнёр 010,Юрлицо,Нижний Новгород,"Нижний Новгород, площадка NVR-03",Контакт 010,+7 000 000-00-10
CUST-011,Партнёр 011,ИП,Нижний Новгород,"Нижний Новгород, площадка NVR-04",Контакт 011,+7 000 000-00-11
