model_id,Производитель,Модель,Тип оборудования,Типовые узлы (через ;),Комментарий,Руководство / документация,Статус источника
MOD-001,Pantum,M6500W,МФУ лазерное (А4),печка; картридж; тракт подачи бумаги; плата форматтера; сканирующий блок,Один из бестселлеров в малом и среднем бизнесе. Популярен благодаря низкой стоимости владения и наличию совместимых расходных материалов.,https://global.pantum.com/support/download/manual/,Точная серия M6500; официальная страница загрузки руководства
MOD-002,Kyocera,ECOSYS M2135DN,МФУ лазерное (А4),печка; картридж; фотобарабан; тракт подачи бумаги; плата форматтера,"Надежное и производительное устройство для средних офисов, входит в топ-5 продаж. Отличается низкой стоимостью отпечатка.",https://www.kyoceradocumentsolutions.co.uk/en/support/downloads.name-L2diL2VuL21mcC9FQ09TWVNNMjEzNURO.html,Точная модель; официальные руководства Kyocera
MOD-003,HP,LaserJet Pro M4103dw,МФУ лазерное (А4),печка; картридж; тракт подачи; плата форматтера; Wi-Fi/сетевой модуль,"Популярная профессиональная модель, сочетающая высокую производительность с расширенными сетевыми возможностями.",https://support.hp.com/my-en/drivers/hp-laserjet-pro-mfp-4101-4104dw-fdn-fdw-printer-series/model/38347994,Точная серия; в документации модель называется LaserJet Pro MFP 4103dw
MOD-004,Canon,i-SENSYS MF463dw,МФУ лазерное (А4),печка; картридж; тракт подачи; плата форматтера; двусторонний автоподатчик,"Модель, быстро завоевавшая популярность благодаря хорошей функциональности и наличию совместимых расходных материалов.",https://oip.manual.canon/USRMA-8699-zz-SSM-460-enGB/,Точная модель/серия MF460; официальное онлайн-руководство
MOD-005,Kyocera,ECOSYS P2040dn,Принтер лазерный (А4),печка; картридж; фотобарабан; тракт подачи бумаги; плата форматтера,"Высокоскоростной и надежный сетевой принтер, один из лидеров в своем классе.",https://www.kyoceradocumentsolutions.com/support_product/model_en.html?m=117&p=21&r=1&s=7,Точная модель; официальное руководство
MOD-006,Huawei,MateBook D 15 (BoDE-WDH9),Ноутбук,материнская плата; аккумулятор; клавиатура; дисплей; система охлаждения,"Лидер продаж в бизнес-сегменте в 2023-2024 годах. Популярен благодаря соотношению цены, производительности и качества.",https://consumer.huawei.com/en/support/,Точная аппаратная платформа BoDE-WDH9; краткое РЭ и официальная база знаний
MOD-007,Honor,MagicBook X16 Pro,Ноутбук,материнская плата; аккумулятор; клавиатура; дисплей; система охлаждения,Одна из самых популярных моделей у российских пользователей в 2024 году. Отличается большим 16-дюймовым экраном и производительным процессором.,https://www.honor.com/global/laptops/honor-magicbook-x16-pro-2024/spec/,"Точная модель; публичное сервисное РЭ с кодами не найдено, использована база поддержки HONOR"
MOD-008,Apple,"MacBook Air 13 (M1, 8/256GB)",Ноутбук,материнская плата; аккумулятор; клавиатура; дисплей; система охлаждения,"Лидер по продажам в денежном выражении. Востребован в компаниях, где ценят экосистему Apple и автономность.",https://support.apple.com/guide/macbook-air/welcome/mac,Точная модельная семья; официальное руководство и Apple Diagnostics
MOD-009,Lenovo,ThinkBook 16+ 2024,Ноутбук,материнская плата; аккумулятор; клавиатура; дисплей; система охлаждения,"Популярная модель для бизнеса, входящая в топ-10 продаж. Предлагает хорошее сочетание производительности и функциональности.",https://download.lenovo.com/pccbbs/pubs/thinkbook_16_14_g7plus/index_en.html,Ближайшая официальная серия; для точного РЭ нужен MTM/Type с шильдика
MOD-010,Depo Computers,(модель на базе Intel Xeon),Сервер (стоечный),блок питания; материнская плата; RAID-контроллер; вентиляторы (FAN); плата расширения,Один из лидеров российского рынка серверов x86. Широко используются для виртуализации и обработки данных.,https://depo.ru/products/servers,Нужна точная модель сервера и BMC/RAID; применена универсальная серверная диагностика
MOD-011,YADRO,(модель на базе процессоров YADRO),Сервер (стоечный),блок питания; материнская плата; RAID-контроллер; вентиляторы (FAN); плата расширения,"Ключевой российский производитель, занявший лидирующие позиции после ухода западных вендоров.",https://yadro.com/ru/documentation/,Нужна точная модель VEGMAN и её конфигурация; официальный портал документации
MOD-012,NexTouch,NextPanel 75,Интерактивная панель,сенсорный экран; блок питания; плата управления (OPS); динамики; Wi-Fi/сетевой модуль,"Абсолютный рекордсмен продаж среди интерактивных панелей в 2024 году. Оптимальный размер 75"" для переговорных и классов.",https://www.citilink.ru/product/panel-interakt-nextouch-nextpanel-75-ifpcv1int75-75-ir-android-8-0-4k-1774416/documents/,Руководство для одной из ревизий NextPanel 75; сверить артикул/ревизию
MOD-013,TeachTouch,TT-R2-75U,Интерактивная панель,сенсорный экран; блок питания; плата управления (OPS); динамики; Wi-Fi/сетевой модуль,"Российская разработка, включенная в Реестр Минпромторга. Популярное решение для госсектора и образования.",https://www.foroffice.ru/products/description/209666.html,"Точная модель подтверждена; публичное сервисное РЭ не найдено, запросить у поставщика"
MOD-014,Newline,TT-7522Z (DGS TT-7522Z),Интерактивная панель,сенсорный экран; блок питания; плата управления (OPS); динамики; Wi-Fi/сетевой модуль,"Новейшая модель российского производителя с диагональю 75"". Предлагает современные функции для совместной работы.",https://newlineinteractive.freshdesk.com/support/solutions/articles/8000104219-z-series,Точная модель TT-7522Z; официальная страница руководств Z Series
MOD-015,ЭЛАР,Скамакс 1000/2000,Сканер поточный (профессиональный),блок сканирования; тракт подачи; плата управления; блок питания,Высокоскоростной российский сканер для оцифровки больших объемов документов (до 300 стр/мин). Включен в реестр Минпромторга.,https://elar.ru/press-center/news/elar-predstavlyaet-skamaks-1000-2000-rossiyskiy-potokovyy-skaner-dlya-vysokoproizvoditelnoy-otsifrov/,"Точная серия; руководство не опубликовано, запросить у ЭЛАР/поставщика"
MOD-016,Avision,AD545GN,Сканер сетевой (профессиональный),блок сканирования; тракт подачи; плата управления; блок питания; сетевой модуль,Универсальный профессиональный сканер со скоростью до 60 стр/мин. Подходит для паспортов и различных документов.,https://www.avision.com/en/shop/document-scanner/ad545g-series/ad545gn/,Точная модель; официальная страница и база кодов Avision
MOD-017,Yealink,UVC85-CP50 (BYOD-комплект),Система видеоконференцсвязи (ВКС),PTZ-камера; спикерфоны; плата кодека; блок питания; микрофоны,"Комплект для средних переговорных, включающий PTZ-камеру и несколько спикерфонов.",https://support.yealink.com/document-detail/7bab9c265b38416eb9527a3e48841180,Точный комплект UVC85 + CP50; официальная документация/даташит
MOD-018,Yealink,PVT160,Система видеоконференцсвязи (ВКС),видеотерминал; PTZ-камера; микрофоны; блок питания; плата кодека,Профессиональный видеотерминал 4K для средних и больших конференц-залов.,https://support.yealink.com/,Точная коммерческая модель PVT160; руководство искать по базовой платформе/прошивке
MOD-019,TrueConf,(комплект на базе ПО TrueConf),Система видеоконференцсвязи (ВКС),серверное ПО; камеры; микрофоны; спикерфоны; плата кодека,Один из ключевых российских производителей ВКС. Решения востребованы в госсекторе и корпоративном сегменте.,https://trueconf.com/support.html,Конфигурация не задана; официальная база знаний TrueConf
MOD-020,IVA,(комплект на базе ПО IVA),Система видеоконференцсвязи (ВКС),серверное ПО; камеры; микрофоны; спикерфоны; плата кодека,Еще один лидер российского рынка ВКС. Предлагает комплексные решения для видеосвязи.,https://iva.ru/docs/index.html,Конфигурация не задана; официальный портал документации IVA
