rule_id,Условие (как в жизни),Решение,Приоритет,Детерминированное или требует оценки,Комментарий / действие,В MVP,Основание / источник
R-01,"Есть дым, запах горелой изоляции, искрение, следы жидкости внутри или вздутая батарея",Эскалация,1,Детерминированное,"Немедленно прекратить работу, обесточить без разборки, изолировать оборудование. Не включать повторно. Инцидент передать ответственному за безопасность и профильному инженеру L3.",Да — основной scope (принтеры/МФУ),https://support.apple.com/guide/macbook-air/welcome/mac
R-02,"На принтере ошибка печки: HP 50.x, Kyocera C6000, Pantum Internal Error 03–12 либо аппарат не прогревается",Выезд инженера,1,Детерминированное,"Выключить и дать остыть. Не выполнять многократные сбросы. Нужны Принтеры L3: питание, термодатчик, нагреватель и узел закрепления.",Да — основной scope (принтеры/МФУ),https://global.pantum.com/support/download/manual/; https://www.kyoceradocumentsolutions.co.uk/en/support/downloads.name-L2diL2VuL21mcC9FQ09TWVNNMjEzNURO.html; https://support.hp.com/gb-en/product/setup-user-guides/hp-laserjet-pro-mfp-4101-4104dw-fdn-fdw-printer-series/model/38347975/; https://www.kyoceradocumentsolutions.com/support_product/model_en.html?m=117&p=21&r=1&s=7
R-03,"Разовое замятие бумаги, лист виден и доступен без разборки",Удалённо,3,Детерминированное,"Остановить задания, удалить лист по ходу движения, проверить обрывки и направляющие, загрузить сухую бумагу правильного формата, выполнить тест 5–10 страниц.",Да — основной scope (принтеры/МФУ),https://global.pantum.com/support/download/manual/; https://www.kyoceradocumentsolutions.co.uk/en/support/downloads.name-L2diL2VuL21mcC9FQ09TWVNNMjEzNURO.html; https://support.hp.com/gb-en/product/setup-user-guides/hp-laserjet-pro-mfp-4101-4104dw-fdn-fdw-printer-series/model/38347975/; https://oip.manual.canon/USRMA-8699-zz-SSM-460-enGB/; https://www.kyoceradocumentsolutions.com/support_product/model_en.html?m=117&p=21&r=1&s=7
R-04,Замятие повторяется в одной зоне два раза подряд или на тесте 10 страниц,Выезд инженера,2,Детерминированное,"Зафиксировать зону/полный код и не вытягивать бумагу против хода. Принтеры L2: проверить ролики, датчики, флажки и узел регистрации.",Да — основной scope (принтеры/МФУ),https://www.kyoceradocumentsolutions.co.uk/en/support/downloads.name-L2diL2VuL21mcC9FQ09TWVNNMjEzNURO.html; https://support.hp.com/gb-en/product/setup-user-guides/hp-laserjet-pro-mfp-4101-4104dw-fdn-fdw-printer-series/model/38347975/; https://oip.manual.canon/USRMA-8699-zz-SSM-460-enGB/
R-05,"Сообщение Add/Replace toner, Toner low или картридж не распознан",Удалённо,3,Детерминированное,"Переустановить совместимый картридж/контейнер, снять транспортировочные элементы, проверить контакты. Если новый заведомо исправный расходник не определяется — выезд Принтеры L2.",Да — основной scope (принтеры/МФУ),https://global.pantum.com/support/download/manual/; https://www.kyoceradocumentsolutions.co.uk/en/support/downloads.name-L2diL2VuL21mcC9FQ09TWVNNMjEzNURO.html; https://support.hp.com/gb-en/product/setup-user-guides/hp-laserjet-pro-mfp-4101-4104dw-fdn-fdw-printer-series/model/38347975/; https://oip.manual.canon/USRMA-8699-zz-SSM-460-enGB/; https://www.kyoceradocumentsolutions.com/support_product/model_en.html?m=117&p=21&r=1&s=7
R-06,"Для HP с 49.xx.yy или 79 Service Error удалённая ветка применима только при одновременном выполнении двух диагностических признаков: ошибка связана с конкретным заданием, очередью или подключением; после запуска без USB/LAN ошибка не воспроизводится",Удалённо,2,Требует оценки,"Включить без USB/LAN, очистить очередь, удалить последнее задание, обновить драйвер и firmware. Если ошибка возникает автономно — выезд Принтеры L3, возможна плата форматтера.",Да — основной scope (принтеры/МФУ),https://support.hp.com/gb-en/product/setup-user-guides/hp-laserjet-pro-mfp-4101-4104dw-fdn-fdw-printer-series/model/38347975/
R-07,"Canon: #801, #802, #806, #839 или не отправляется скан по e-mail/SMB",Удалённо,2,Детерминированное,"Записать полный код; проверить сеть, DNS, время, адрес/порт сервера, TLS и учётные данные. Повторять отправку только после исправления настройки.",Да — основной scope (принтеры/МФУ),https://oip.manual.canon/USRMA-8699-zz-SSM-460-enGB/
R-08,Kyocera показывает Replace MK / Maintenance Kit,Выезд инженера,3,Детерминированное,Запланировать замену сервисного комплекта. Счётчик сбрасывать только после физической замены; компетенция Принтеры L2.,Да — основной scope (принтеры/МФУ),https://www.kyoceradocumentsolutions.co.uk/en/support/downloads.name-L2diL2VuL21mcC9FQ09TWVNNMjEzNURO.html; https://www.kyoceradocumentsolutions.com/support_product/model_en.html?m=117&p=21&r=1&s=7
R-09,Ошибка каретки/сканирующего блока: Pantum Internal Error 11–13 или Kyocera C3100,Выезд инженера,2,Требует оценки,"Сначала снять транспортировочную блокировку и убрать доступные препятствия. При повторе — Принтеры L2: шлейф, привод, датчик Home, сканирующий модуль.",Да — основной scope (принтеры/МФУ),https://global.pantum.com/support/download/manual/; https://www.kyoceradocumentsolutions.co.uk/en/support/downloads.name-L2diL2VuL21mcC9FQ09TWVNNMjEzNURO.html
R-10,"Полосы, фон, бледная печать или повторяющиеся дефекты, но печать не блокируется",Удалённо,3,Требует оценки,"Распечатать внутреннюю тестовую страницу, заменить/переустановить расходник, выполнить штатную очистку. Если дефект повторяется с одинаковым шагом — выезд Принтеры L2.",Да — основной scope (принтеры/МФУ),https://global.pantum.com/support/download/manual/; https://www.kyoceradocumentsolutions.co.uk/en/support/downloads.name-L2diL2VuL21mcC9FQ09TWVNNMjEzNURO.html; https://support.hp.com/gb-en/product/setup-user-guides/hp-laserjet-pro-mfp-4101-4104dw-fdn-fdw-printer-series/model/38347975/; https://oip.manual.canon/USRMA-8699-zz-SSM-460-enGB/; https://www.kyoceradocumentsolutions.com/support_product/model_en.html?m=117&p=21&r=1&s=7
R-11,Ноутбук не включается после проверки исправной розетки и штатного адаптера,Вывоз в мастерскую,1,Детерминированное,"Отключить периферию, удержать питание 10–15 секунд и повторить один раз. Если нет индикации/заряда — Ноутбуки L3, диагностика разъёма питания, батареи и системной платы.",Нет — справочник / после MVP,https://consumer.huawei.com/en/support/; https://www.honor.com/global/laptops/honor-magicbook-x16-pro-2024/spec/; https://support.apple.com/guide/macbook-air/welcome/mac; https://download.lenovo.com/pccbbs/pubs/thinkbook_16_14_g7plus/index_en.html
