error_code,model_id или Все,Расшифровка,Вероятная причина,Решается удалённо?,Требуемая компетенция,Типовая запчасть,Что делать,Источник / руководство
Internal Error 00,MOD-001,Отказ главного двигателя,"Двигатель, кабель или плата управления",Нет,Принтеры L3,Главный двигатель / плата управления,Выключить и включить. Если ошибка повторяется — проверить разъёмы двигателя; далее сервисная диагностика и замена двигателя/платы.,https://www.scribd.com/document/854238137/Pantum-M6200-M6500-Series-Service-Manual
Internal Error 01,MOD-001,Ошибка двигателя лазерного блока LSU,LSU или его подключение,Нет,Принтеры L3,Лазерный блок LSU,"Перезапустить. При повторе проверить кабель LSU, затем заменить LSU; плату управления менять после исключения LSU.",https://www.scribd.com/document/854238137/Pantum-M6200-M6500-Series-Service-Manual
Internal Error 02,MOD-001,Нарушена синхронизация LSU,Нет сигнала синхронизации лазерного блока,Нет,Принтеры L3,Плата управления / LSU,Перезапустить устройство. При устойчивой ошибке выполнить сервисную проверку LSU и платы управления.,https://www.scribd.com/document/854238137/Pantum-M6200-M6500-Series-Service-Manual
Internal Error 03–12,MOD-001,Ненормальный нагрев узла закрепления,"Печка, термодатчик, кабель или плата",Нет,Принтеры L3,Узел закрепления (печка),Обесточить и дать остыть. Не сбрасывать многократно. Проверить соединения печки; при повторе заменить узел закрепления или плату.,https://www.scribd.com/document/854238137/Pantum-M6200-M6500-Series-Service-Manual
Internal Error 11,MOD-001,Сбой самотеста сканера,"Шлейф, сканирующая головка, датчик оригинала или плата",Нет,Принтеры L2,Сканирующий блок / шлейф,"Перезапустить; проверить, не заблокирована ли каретка. При повторе проверить шлейф и сканирующий блок.",https://www.scribd.com/document/854238137/Pantum-M6200-M6500-Series-Service-Manual
Internal Error 12,MOD-001,Ошибка определения исходного положения сканера,Каретка не достигает датчика Home,Нет,Принтеры L2,Датчик Home / сканирующий блок,"Убрать препятствия, перезапустить. Если каретка не позиционируется — сервисная проверка датчика, шлейфа и головки.",https://www.scribd.com/document/854238137/Pantum-M6200-M6500-Series-Service-Manual
Internal Error 13,MOD-001,Ошибка чёрной метки сканера,Загрязнение/неисправность калибровочной метки или сканера,Зависит,Принтеры L2,Сканирующий блок,"Очистить стекло и калибровочную область, перезапустить. При повторе — проверить головку, датчик и плату.",https://www.scribd.com/document/854238137/Pantum-M6200-M6500-Series-Service-Manual
Communication Error 27,MOD-001,Ошибка Wi‑Fi,Беспроводная сеть недоступна либо проблема антенны/платы,Да,Диагностика ПО,Wi‑Fi антенна / плата,"Проверить, включён ли Wi‑Fi, SSID/пароль и доступность сети; перезапустить роутер и МФУ. Если сеть не видна — сервис.",https://www.scribd.com/document/854238137/Pantum-M6200-M6500-Series-Service-Manual
Paper Jam / Feed Jam,MOD-001,Замятие бумаги,"Посторонний предмет, влажная бумага, износ роликов",Зависит,Принтеры L1,Ролики подачи / тормозная площадка,"Открыть крышки по инструкции, аккуратно удалить бумагу целиком, проверить обрывки и направляющие; при повторах очистить/заменить ролики.",https://www.scribd.com/document/854238137/Pantum-M6200-M6500-Series-Service-Manual
Call service C6000,MOD-002,Ошибка нагрева узла закрепления,"Нагреватель, термистор, термопредохранитель или питание печки",Нет,Принтеры L3,Узел закрепления,Выключить и не продолжать печать. После остывания проверить печку и питание; сброс выполнять только после устранения причины.,https://www.kyoceradocumentsolutions.co.uk/en/support/downloads.name-L2diL2VuL21mcC9FQ09TWVNNMjEzNURO.html
Call service C3100,MOD-002,Ошибка сканирующей каретки,"Каретка, двигатель/ремень, датчик Home или шлейф",Нет,Принтеры L2,Сканирующий блок / двигатель,"Снять блокировку сканера, убрать препятствия, перезапустить. При повторе проверить привод и датчик исходного положения.",https://www.kyoceradocumentsolutions.co.uk/en/support/downloads.name-L2diL2VuL21mcC9FQ09TWVNNMjEzNURO.html
Call service 0100,MOD-002,Ошибка резервной памяти,Неисправна flash-память или main/engine PWB,Нет,Принтеры L3,Главная плата,Перезапустить и проверить версию прошивки. При повторе сохранить сервисный лог и заменить/перепрограммировать главную плату.,https://www.kyoceradocumentsolutions.co.uk/en/support/downloads.name-L2diL2VuL21mcC9FQ09TWVNNMjEzNURO.html
Paper jam,MOD-002,Замятие бумаги,"Бумага застряла в указанной зоне, загрязнены или изношены ролики",Зависит,Принтеры L1,Ролики подачи / узел регистрации,"Удалить бумагу в указанной на дисплее зоне, проверить обрывки. При повторяющейся точке замятия очистить и проверить ролики/датчики.",https://www.kyoceradocumentsolutions.co.uk/en/support/downloads.name-L2diL2VuL21mcC9FQ09TWVNNMjEzNURO.html
Add toner / Replace toner,MOD-002,Тонер закончился или картридж не распознан,Пустой/неустановленный контейнер тонера,Да,Принтеры L1,Тонер-контейнер,Встряхнуть и переустановить контейнер; если сообщение остаётся — заменить на подходящий тонер и проверить привод подачи.,https://www.kyoceradocumentsolutions.co.uk/en/support/downloads.name-L2diL2VuL21mcC9FQ09TWVNNMjEzNURO.html
Replace MK,MOD-002,Ресурс комплекта обслуживания исчерпан,Достигнут счётчик maintenance kit,Нет,Принтеры L2,Maintenance Kit,Запланировать замену комплекта обслуживания; после физической замены сбросить счётчик сервисной процедурой.,https://www.kyoceradocumentsolutions.co.uk/en/support/downloads.name-L2diL2VuL21mcC9FQ09TWVNNMjEzNURO.html
Send error ####,MOD-002,Ошибка отправки скана,"DNS/SMTP/SMB, учётные данные, порт или сеть",Да,Диагностика ПО,,"Записать 4‑значный подкод, проверить сеть, DNS, время, адрес сервера и учётные данные; затем повторить отправку.",https://www.kyoceradocumentsolutions.co.uk/en/support/downloads.name-L2diL2VuL21mcC9FQ09TWVNNMjEzNURO.html
13.xx.yy,MOD-003,Замятие бумаги,"Лист застрял в тракте, изношены ролики или датчик",Зависит,Принтеры L1,Ролики / датчик бумаги,"Следовать схеме зоны замятия на дисплее, удалить лист по ходу движения, проверить остатки; при повторе зафиксировать полный подкод.",https://support.hp.com/gb-en/product/setup-user-guides/hp-laserjet-pro-mfp-4101-4104dw-fdn-fdw-printer-series/model/38347975/
41.03.yy,MOD-003,Несоответствие размера бумаги,Фактический формат не совпадает с настройкой лотка/задания,Да,Принтеры L1,,"Проверить формат и тип бумаги в лотке и драйвере, правильно выставить направляющие, повторить задание.",https://support.hp.com/gb-en/product/setup-user-guides/hp-laserjet-pro-mfp-4101-4104dw-fdn-fdw-printer-series/model/38347975/
49.xx.yy,MOD-003,Ошибка прошивки/обработки задания,"Повреждённое задание, драйвер, сеть или firmware",Да,Диагностика ПО,Плата форматтера,"Выключить, отключить сетевой/USB‑кабель, включить без задания. Очистить очередь, обновить firmware/драйвер; при повторе без сети — сервис.",https://support.hp.com/gb-en/product/setup-user-guides/hp-laserjet-pro-mfp-4101-4104dw-fdn-fdw-printer-series/model/38347975/
50.xx,MOD-003,Ошибка узла закрепления,Печка не набирает/не удерживает температуру,Нет,Принтеры L3,Узел закрепления,"Выключить принтер минимум на 30 секунд и подключить напрямую к исправной розетке. При повторе — не эксплуатировать, заменить печку после диагностики.",https://support.hp.com/gb-en/product/setup-user-guides/hp-laserjet-pro-mfp-4101-4104dw-fdn-fdw-printer-series/model/38347975/
59.xx,MOD-003,Ошибка двигателя/привода,"Заклинивание механики, двигатель или контроллер",Нет,Принтеры L2,Двигатель / привод,Удалить посторонние предметы и проверить свободный ход доступных узлов. При повторе — сервисная диагностика привода.,https://support.hp.com/gb-en/product/setup-user-guides/hp-laserjet-pro-mfp-4101-4104dw-fdn-fdw-printer-series/model/38347975/
79 Service Error,MOD-003,Критическая ошибка firmware,"Сбой задания, аксессуара или прошивки",Зависит,Диагностика ПО,Плата форматтера,"Перезапустить без сетевого кабеля/USB и без дополнительных устройств, удалить последнее задание, обновить firmware. Если повторяется автономно — сервис.",https://support.hp.com/gb-en/product/setup-user-guides/hp-laserjet-pro-mfp-4101-4104dw-fdn-fdw-printer-series/model/38347975/
10.00.10 / Supply memory error,MOD-003,Ошибка памяти расходного материала,Чип картриджа не читается или картридж установлен неверно,Зависит,Принтеры L1,Тонер-картридж,"Вынуть и установить картридж заново, осмотреть контакты. Проверить с заведомо исправным картриджем; при повторе — сервис контактов/платы.",https://support.hp.com/gb-en/product/setup-user-guides/hp-laserjet-pro-mfp-4101-4104dw-fdn-fdw-printer-series/model/38347975/
#801,MOD-004,Нет соединения с SMTP-сервером или общей папкой,Сеть недоступна либо неверны SMTP/SMB-настройки,Да,Диагностика ПО,,"Проверить сеть, адрес сервера, порт, DNS, путь к папке и настройки SMTP/SMB в Remote UI.",https://oip.manual.canon/USRMA-8699-zz-SSM-460-enGB/contents/devu-trb-errcode_dis.html
#802,MOD-004,Имя SMTP/POP3-сервера задано неверно,Ошибка имени сервера или DNS,Да,Диагностика ПО,,Исправить имя SMTP/POP3-сервера и DNS; проверить разрешение имени и повторить отправку.,https://oip.manual.canon/USRMA-8699-zz-SSM-460-enGB/contents/devu-trb-errcode_dis.html
#806,MOD-004,Ошибка имени пользователя или пароля,Неверные учётные данные для общей папки/FTP,Да,Диагностика ПО,,Повторно ввести логин/пароль и проверить права на каталог; учитывать домен и срок действия пароля.,https://oip.manual.canon/USRMA-8699-zz-SSM-460-enGB/contents/devu-trb-errcode_dis.html
#839,MOD-004,Ошибка аутентификации SMTP,Неверная SMTP AUTH-конфигурация или учётные данные,Да,Диагностика ПО,,"Сверить тип аутентификации, логин, пароль и разрешение SMTP AUTH на почтовом сервере.",https://oip.manual.canon/USRMA-8699-zz-SSM-460-enGB/contents/devu-trb-errcode_dis.html
#844 / #846,MOD-004,Ошибка защищённого соединения или аутентификации,TLS-сертификат/протокол либо параметры SMTP,Да,Диагностика ПО,,"Проверить дату/время, сертификаты, версию TLS и настройки почтового сервера; обновить сертификат/прошивку при необходимости.",https://oip.manual.canon/USRMA-8699-zz-SSM-460-enGB/contents/devu-trb-errcode_dis.html
Paper jam,MOD-004,Замятие бумаги,Лист застрял в тракте или ADF,Зависит,Принтеры L1,Ролики подачи / ADF,"Открыть указанную зону, извлечь бумагу без разрыва, проверить обрывки и направляющие; при повторе очистить ролики.",https://oip.manual.canon/USRMA-8699-zz-SSM-460-enGB/contents/devu-trb-errcode_dis.html
Memory is full,MOD-004,Недостаточно памяти для задания,Слишком большой документ/разрешение или очередь заданий,Да,Принтеры L1,,"Удалить ненужные задания, уменьшить разрешение/размер партии, разделить документ и повторить.",https://oip.manual.canon/USRMA-8699-zz-SSM-460-enGB/contents/devu-trb-errcode_dis.html
Call service C6000,MOD-005,Ошибка узла закрепления,Печка не нагревается либо перегревается,Нет,Принтеры L3,Узел закрепления,"Выключить и прекратить эксплуатацию. Проверить нагреватель, термистор, предохранитель и питание; затем выполнить сервисный сброс.",https://www.kyoceradocumentsolutions.com/support_product/model_en.html?m=117&p=21&r=1&s=7
Call service 0100,MOD-005,Ошибка резервной памяти,Flash-память или main/engine PWB,Нет,Принтеры L3,Главная плата,"Перезапустить; при повторе сохранить журнал, проверить firmware и главную плату.",https://www.kyoceradocumentsolutions.com/support_product/model_en.html?m=117&p=21&r=1&s=7
