user_id,ФИО (условное),Роль,Сервисная организация,Базовый регион,Комментарий,Компетенции (skill_id через ;),customer_id
U-001,Диспетчер 001,Диспетчер,SO-MSK-REP,Москва,Видит все обращения и оборудование своей сервисной организации,,
U-002,Диспетчер 002,Диспетчер,SO-SPB-REP,Санкт-Петербург,Видит все обращения и оборудование своей сервисной организации,,
U-003,Инженер 001,Инженер,SO-MSK-REP,Москва,Специализируется на принтерах и МФУ,SK-02;SK-03,
U-004,Инженер 002,Инженер,SO-MSK-REP,Москва,Ремонт ноутбуков и серверов,SK-04;SK-06,
U-005,Инженер 003,Инженер,SO-MSK-MOB,Москва,Ремонт интерактивных панелей и ВКС,SK-08;SK-11,
U-006,Инженер 005,Инженер,SO-NVR-REP,Нижний Новгород,Специалист по сканерам и МФУ,SK-02;SK-10,
U-007,Инженер 006,Инженер,SO-NVR-REP,Нижний Новгород,Общий ремонт оргтехники и ноутбуков,SK-02;SK-04,
U-008,Сервис-менеджер 001,Сервис-менеджер,SO-MSK-REP,Москва,Согласует дорогостоящие ремонты и эскалации,,
U-009,Сервис-менеджер 002,Сервис-менеджер,SO-NVR-REP,Нижний Новгород,Сервис-менеджер Нижнего Новгорода; согласует дорогостоящие ремонты и управляет региональными инженерами,,
U-011,Диспетчер 003,Диспетчер,SO-MSK-REP,Москва,Специализация: гарантийные обращения; проверяет комплектность данных для предварительной квалификации,,
U-012,Инженер 004,Инженер,SO-MSK-REP,Москва,"Сложные электронные неисправности, компонентный ремонт",SK-03;SK-05;SK-07,
U-013,Представитель партнёра 001,Клиент,—,Москва,Видит только оборудование и обращения своего customer_id; не видит внутренние бюллетени,,CUST-001
U-014,Представитель партнёра 002,Клиент,—,Москва,Видит только оборудование и обращения своего customer_id; не видит внутренние бюллетени,,CUST-006
U-015,Представитель партнёра 003,Клиент,—,Нижний Новгород,Видит только оборудование и обращения своего customer_id; не видит внутренние бюллетени,,CUST-002
U-016,Представитель партнёра 004,Клиент,—,Нижний Новгород,Видит только оборудование и обращения своего customer_id; не видит внутренние бюллетени,,CUST-007
U-017,Инженер 013,Инженер,SO-SPB-REP,Санкт-Петербург,Принтеры и МФУ; сложная диагностика и ремонт узлов,SK-02;SK-03,
U-018,Инженер 014,Инженер,SO-SPB-MOB,Санкт-Петербург,Выездной и удалённый сервис принтеров/МФУ,SK-01;SK-02;SK-12,
U-019,Представитель партнёра 005,Клиент,—,Санкт-Петербург,Видит только оборудование и обращения своего customer_id; не видит внутренние бюллетени,,CUST-008
U-020,Представитель партнёра 006,Клиент,—,Санкт-Петербург,Видит только оборудование и обращения своего customer_id; не видит внутренние бюллетени,,CUST-009
U-021,Диспетчер 004,Диспетчер,SO-NVR-REP,Нижний Новгород,Видит все обращения и оборудование своей сервисной организации,,
