part_id,Наименование,Подходит к model_id (через ;),Остаток на складе,Склад,"Цена, ₽","Срок поставки, дней"
SP-014,Узел закрепления (печка) для HP M404,MOD-003,3,Москва,8500,5
SP-015,Узел закрепления (печка) для Pantum M6500W,MOD-001,5,Москва,6200,3
SP-016,Фотобарабан для Kyocera ECOSYS M2135DN,MOD-002,4,Москва,4800,4
SP-017,Печка для Kyocera ECOSYS P2040dn,MOD-005,2,Нижний Новгород,7100,6
SP-018,Картридж тонер-блок для Canon i-SENSYS MF463dw,MOD-004,6,Москва,5900,2
SP-019,Плата форматтера для HP LaserJet Pro M4103dw,MOD-003,1,Москва,12400,7
SP-020,Аккумулятор для Huawei MateBook D 15 (BoDE-WDH9),MOD-006,3,Нижний Новгород,4200,3
SP-021,Клавиатура для Lenovo ThinkBook 16+ 2024,MOD-009,2,Санкт-Петербург,3600,4
SP-022,Дисплей для Huawei MateBook D 15,MOD-006,1,Москва,9800,5
SP-023,Сенсорный экран для NexTouch NextPanel 75,MOD-012,2,Москва,28500,10
SP-024,OPS-модуль для NexTouch NextPanel 75,MOD-012,1,Москва,15200,7
SP-025,Блок питания для сервера YADRO (стоечный),MOD-011,4,Москва,11300,3
SP-026,RAID-контроллер для сервера YADRO,MOD-011,2,Москва,18700,5
SP-027,Блок сканирования для Avision AD545GN,MOD-016,1,Москва,22100,8
SP-028,Тракт подачи для Avision AD545GN,MOD-016,2,Москва,9800,5
SP-029,Материнская плата для Honor MagicBook X16 Pro,MOD-007,1,Москва,14500,6
SP-030,Аккумулятор для Honor MagicBook X16 Pro,MOD-007,3,Нижний Новгород,3900,3
SP-031,Система охлаждения (кулер) для Lenovo ThinkBook 16+,MOD-009,2,Санкт-Петербург,2300,2
SP-032,Блок питания для Kyocera ECOSYS M2135DN (внутренний),MOD-002,1,Москва,6500,4
SP-033,Плата управления для Canon i-SENSYS MF463dw,MOD-004,1,Москва,10200,6
SP-034,Ролики захвата бумаги для Pantum M6500W,MOD-001,5,Москва,1200,2
SP-035,Вентилятор охлаждения для сервера YADRO,MOD-011,6,Москва,1800,1
SP-036,Микрофон для Yealink UVC85-CP50 (ВКС),MOD-017,3,Москва,4500,5
