skill_id,Название компетенции,Уровень,Что позволяет делать,Комментарий
SK-01,Принтеры L1,1,"Диагностика по кодам ошибок, замена картриджей и расходных материалов, очистка тракта подачи бумаги",Базовый уровень для обслуживания принтеров и МФУ
SK-02,Принтеры L2,2,"Замена узлов (печка, фотобарабан, тракт подачи), ремонт сканирующего блока, диагностика механических неисправностей",Средний уровень — большинство поломок решается на месте
SK-03,Принтеры L3,3,"Ремонт платы форматтера, диагностика по кодам 50.x, компонентный ремонт электроники, пайка",Продвинутый уровень — требуется для сложных электронных неисправностей
SK-04,Ноутбуки L2,2,"Замена материнской платы, дисплея, аккумулятора, клавиатуры, системы охлаждения; диагностика по POST-кодам",Типовой ремонт ноутбуков на модульном уровне
SK-05,Ноутбуки L3,3,"Компонентный ремонт материнских плат (пайка BGA, замена чипов), восстановление после залития, ремонт цепей питания",Продвинутый уровень — работа с паяльным оборудованием и микроскопом
SK-06,Серверы L2,2,"Замена блоков питания, материнских плат, RAID-контроллеров, вентиляторов, плат расширения; диагностика по SEL-логам",Блочный ремонт серверного оборудования
SK-07,Серверы L3,3,"Компонентный ремонт серверных плат, пайка SMD, работа с осциллографом, восстановление цепей питания",Продвинутый уровень — ремонт на уровне электроники
SK-08,Интерактивные панели L2,2,"Замена сенсорного экрана, OPS-модуля, блока питания, сетевых модулей; диагностика проблем с сенсором и изображением",Ремонт интерактивных панелей на модульном уровне
SK-09,Интерактивные панели L3,3,"Ремонт LED-подсветки, замена и пайка SMD-компонентов на плате управления, компонентный ремонт",Продвинутый уровень — ремонт электроники интерактивных панелей
SK-10,Сканеры L2,2,"Замена блока сканирования, тракта подачи, платы управления, блока питания; калибровка; диагностика неисправностей",Ремонт профессиональных сканеров на модульном уровне
SK-11,ВКС L2,2,"Замена камер, микрофонов, спикерфонов, блоков питания; настройка и диагностика видеотерминалов; обновление ПО",Техническое обслуживание и ремонт систем видеоконференцсвязи
SK-12,Диагностика ПО,2,"Удалённая диагностика, чтение логов ошибок, обновление прошивок, настройка сетевых параметров",Навыки для удалённого решения проблем без выезда
